state,year,name,type,city,county,enroll,mmr,overall,schagepop2016,statespending2016
Arizona,2018-19,91St Psalm Christian,Private,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,A J Mitchell Elementary,Public,Nogales,Santa Cruz,51,100,NA,1199,7137123
Arizona,2018-19,Abia Judd Elementary,Public,Prescott,Yavapai,90,91.11,NA,1199,7137123
Arizona,2018-19,Abraham Lincoln Traditional,Public,Phoenix,Maricopa,74,95.95,NA,1199,7137123
Arizona,2018-19,Acacia Elementary,Public,Phoenix,Maricopa,120,93.33,NA,1199,7137123
Arizona,2018-19,Acacia Elementary,Public,Vail,Pima,110,93.64,NA,1199,7137123
Arizona,2018-19,Academy Adventures Midtown,Charter,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Academy Del Sol,Charter,Tucson,Pima,22,100,NA,1199,7137123
Arizona,2018-19,Academy Del Sol - Hope,Charter,Tucson,Pima,85,100,NA,1199,7137123
Arizona,2018-19,Academy Of Math And Science,Charter,Tucson,Pima,92,96.74,NA,1199,7137123
Arizona,2018-19,Academy Of Math And Science - Desert Sky,Charter,Phoenix,Maricopa,145,99.31,NA,1199,7137123
Arizona,2018-19,Academy Of Math And Science Camelback,Charter,Phoenix,Maricopa,173,95.95,NA,1199,7137123
Arizona,2018-19,Academy Of Mathematics And Science South,Charter,Phoenix,Maricopa,60,100,NA,1199,7137123
Arizona,2018-19,Academy Of Tucson Elementary,Charter,Tucson,Pima,37,91.89,NA,1199,7137123
Arizona,2018-19,Accel - East Campus,Private,Tempe,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Accel - Metro Campus (Latch School),Private,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Accelerated Learning Laboratory,Charter,Tucson,Pima,NA,NA,NA,1199,7137123
Arizona,2018-19,Acclaim Academy,Charter,Phoenix,Maricopa,43,100,NA,1199,7137123
Arizona,2018-19,Acorn Montessori Charter School - West,Charter,Prescott Valley,Yavapai,71,77.46,NA,1199,7137123
Arizona,2018-19,Adams Elementary,Public,Mesa,Maricopa,102,98.04,NA,1199,7137123
Arizona,2018-19,Adams Traditional Academy,Charter,Phoenix,Maricopa,109,90.83,NA,1199,7137123
Arizona,2018-19,Adobe Montessori,Private,Chandler,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Advance U,Charter,Phoenix,Maricopa,23,91.3,NA,1199,7137123
Arizona,2018-19,Afm Chandler Montessori,Private,Chandler,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Agua Caliente,Public,Tucson,Pima,56,98.21,NA,1199,7137123
Arizona,2018-19,Aguila Elementary,Public,Aguila,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Aguilar,Public,Tempe,Maricopa,95,94.74,NA,1199,7137123
Arizona,2018-19,Ahwatukee Foothills Montessori,Private,Phoenix,Maricopa,NA,NA,NA,1199,7137123
Arizona,2018-19,Aire Libre Elementary,Public,Phoenix,Maricopa,44,84.09,NA,1199,7137123
Arizona,2018-19,Akimel O'Otham Pee Posh,Charter,Coolidge,Pinal,82,90.24,NA,1199,7137123
Arizona,2018-19,Alfred F Garcia,Public,Phoenix,Maricopa,36,100,NA,1199,7137123
